img,output,timestamp
.gradio\flagged\img\436ffec1b1218ce62bdf\metal_project.jpg,Predicted: cardboard (Confidence: 0.68),2025-07-08 11:42:06.448928
.gradio\flagged\img\eb0db1bfabeea762b435\metal_project.jpg,Predicted: cardboard (Confidence: 0.68),2025-07-08 11:42:09.349882
